trial,flipped_bit_index,byte_offset,differing_bits_of_256
687,2464,308,136
688,2767,345,129
689,3448,431,125
690,2612,326,133
691,7668,958,126
692,2462,307,122
693,7780,972,146
694,2772,346,123
695,895,111,126
696,7833,979,123
697,2913,364,137
698,4281,535,125
699,7730,966,116
700,4459,557,146
701,155,19,117
702,1679,209,116
703,3128,391,124
704,7333,916,151
705,937,117,136
706,1131,141,123
707,5090,636,115
708,2067,258,138
709,3553,444,133
710,4557,569,131
711,108,13,119
712,1858,232,140
713,7452,931,115
714,2862,357,124
715,5965,745,137
716,1604,200,118
717,1888,236,144
718,5456,682,135
719,1280,160,125
720,235,29,129
721,7259,907,129
722,5764,720,134
723,4252,531,127
724,3500,437,127
725,311,38,126
726,4252,531,127
727,4897,612,150
728,3103,387,136
729,5821,727,121
730,5799,724,115
731,1735,216,118
732,1130,141,119
733,1391,173,125
734,453,56,113
735,1465,183,125
736,65,8,129
737,3823,477,128
738,2484,310,124
739,3527,440,128
740,7358,919,146
741,2373,296,131
742,6188,773,128
743,2268,283,127
744,5465,683,130
745,8064,1008,127
746,5958,744,107
747,1425,178,128
748,5651,706,135
749,2175,271,125
750,4824,603,129
751,3298,412,124
752,5012,626,118
753,6010,751,130
754,2186,273,123
755,6288,786,123
756,4233,529,139
757,6234,779,121
758,4041,505,129
759,1605,200,130
760,7990,998,128
761,4394,549,126
762,7314,914,141
763,116,14,121
764,816,102,131
765,2796,349,128
766,4710,588,147
767,7951,993,125
768,3000,375,134
769,3176,397,136
770,3986,498,130
771,2589,323,135
772,7552,944,125
773,3837,479,124
774,2031,253,122
775,971,121,127
776,2969,371,123
777,5737,717,124
778,7825,978,126
779,7354,919,136
780,4149,518,129
781,3139,392,136
782,1995,249,121
783,6125,765,136
784,7049,881,138
785,680,85,131
786,628,78,140
787,3893,486,117
788,5883,735,127
789,5027,628,124
790,1918,239,126
791,3774,471,131
792,1705,213,127
793,220,27,134
794,4719,589,123
795,2257,282,112
796,8131,1016,134
797,2313,289,131
798,2214,276,112
799,7563,945,124
800,2162,270,128
801,5516,689,127
802,4492,561,131
803,2312,289,142
804,2600,325,135
805,7342,917,117
806,5378,672,125
807,350,43,126
808,6629,828,128
809,4103,512,130
810,7131,891,128
811,6264,783,128
812,3456,432,133
813,2355,294,141
814,5714,714,118
815,7739,967,126
816,4814,601,127
817,7038,879,109
818,3217,402,132
819,1242,155,116
820,1133,141,118
821,200,25,136
822,1291,161,97
823,7873,984,142
824,5289,661,124
825,7455,931,132
826,743,92,136
827,7016,877,133
828,7982,997,137
829,3227,403,134
830,2528,316,98
831,6959,869,135
832,5201,650,129
833,3131,391,147
834,3487,435,134
835,3948,493,129
836,6392,799,128
837,6438,804,119
838,5141,642,138
839,7990,998,128
840,1378,172,120
841,6864,858,130
842,5010,626,120
843,3506,438,119
844,117,14,137
845,7515,939,126
846,6994,874,125
847,2458,307,144
848,4303,537,128
849,6603,825,144
850,3414,426,126
851,1003,125,123
852,517,64,127
853,1025,128,120
854,6722,840,143
855,3686,460,134
856,2197,274,119
857,4265,533,126
858,2681,335,132
859,2494,311,133
860,3535,441,123
861,723,90,129
862,1568,196,134
863,7921,990,117
864,6868,858,123
865,1858,232,140
866,1224,153,136
867,1659,207,124
868,5266,658,131
869,4848,606,126
870,2770,346,132
871,3501,437,136
872,624,78,118
873,4288,536,114
874,1565,195,129
875,88,11,141
876,4919,614,114
877,2766,345,137
878,2745,343,127
879,7530,941,135
880,3839,479,132
881,5683,710,108
882,1881,235,134
883,5957,744,122
884,3255,406,136
885,1972,246,127
886,7992,999,118
887,217,27,132
888,6523,815,132
889,5018,627,135
890,3676,459,131
891,7954,994,133
892,888,111,132
893,8088,1011,144
894,1260,157,123
895,1452,181,127
896,3730,466,131
897,6089,761,132
898,2870,358,131
899,2162,270,128
900,6814,851,131
901,3317,414,125
902,7744,968,123
903,3539,442,127
904,4425,553,125
905,5036,629,109
906,6261,782,129
907,2570,321,131
908,7006,875,138
909,5752,719,119
910,2087,260,117
911,1475,184,118
912,1530,191,128
913,2575,321,122
914,1456,182,124
915,4444,555,126
916,7604,950,123
917,279,34,126
918,6009,751,117
919,6127,765,132
920,7537,942,124
921,4309,538,129
922,3334,416,135
923,8129,1016,130
924,6341,792,130
925,1543,192,126
926,1520,190,123
927,7467,933,151
928,5835,729,131
929,495,61,127
930,7120,890,135
931,5419,677,134
932,433,54,121
933,3817,477,111
934,1518,189,129
935,3846,480,117
936,5277,659,126
937,6153,769,137
938,6279,784,126
939,4563,570,126
940,3987,498,124
941,7981,997,130
942,4941,617,113
943,894,111,123
944,6081,760,126
945,2382,297,130
946,6078,759,136
947,5342,667,125
948,5978,747,139
949,7408,926,110
950,4442,555,112
951,5711,713,137
952,7894,986,136
953,5524,690,124
954,410,51,121
955,4196,524,121
956,765,95,136
957,8153,1019,132
958,5760,720,116
959,6169,771,128
960,1154,144,134
961,4706,588,126
962,5631,703,118
963,2921,365,123
964,570,71,137
965,1721,215,131
966,952,119,123
967,963,120,128
968,681,85,129
969,3468,433,128
970,6964,870,122
971,1212,151,130
972,2422,302,139
973,1220,152,128
974,4665,583,128
975,3795,474,122
976,6910,863,122
977,2611,326,129
978,6025,753,139
979,1804,225,119
980,4703,587,130
981,6819,852,136
982,4410,551,146
983,7928,991,132
984,7938,992,105
985,4247,530,130
986,2903,362,123
987,5530,691,143
988,6091,761,128
989,7721,965,111
990,4744,593,130
991,6141,767,132
992,2816,352,129
993,6814,851,131
994,4798,599,119
995,889,111,142
996,6101,762,127
997,3244,405,121
998,5285,660,131
999,3931,491,115
1000,6201,775,123
