key_size,key_bits,file_type,input_size,input_bytes,input_MB,trial,enc_time_ms,dec_time_ms,enc_throughput_MBps,dec_throughput_MBps,enc_cpu_pct,dec_cpu_pct,enc_cpu_os_pct,dec_cpu_os_pct,enc_peak_MB,dec_peak_MB,rss_MB,verified
AES-192,192,JPG,100KB,102400,0.0976562,9,0.0985001,0.1315,991.433,742.633,94.5934,97.5359,37.4948,56.2465,0.098196,0.0981379,34.2617,PASS
AES-128,128,JPG,100KB,102400,0.0976562,10,0.0894001,0.1379,1092.35,708.167,98.0943,95.7427,74.992,37.4983,0.098196,0.0981379,34.2617,PASS
AES-192,192,JPG,100KB,102400,0.0976562,10,0.0707001,0.1398,1381.28,698.542,96.224,90.5988,56.2415,56.2425,0.098196,0.0981379,34.2617,PASS
AES-256,256,JPG,100KB,102400,0.0976562,10,0.0804,0.1601,1214.63,609.97,96.5803,96.949,37.4942,12.4991,0.098196,0.0981379,34.2617,PASS
AES-128,128,JPG,1MB,1048576,1,1,0.6385,0.6679,1566.17,1497.23,98.2645,98.3874,81.1839,74.7835,1.00054,1.00048,35.6445,PASS
AES-192,192,JPG,1MB,1048576,1,1,0.7467,0.7339,1339.23,1362.58,97.8052,98.9957,68.7308,87.2275,1.00054,1.00048,35.6445,PASS
AES-256,256,JPG,1MB,1048576,1,1,0.7039,0.7175,1420.66,1393.73,97.8349,98.948,74.9273,93.4688,1.00054,1.00048,35.6445,PASS
AES-192,192,JPG,1MB,1048576,1,2,0.6639,0.6823,1506.25,1465.63,98.2716,97.6094,74.8771,81.1801,1.00054,1.00048,35.6445,PASS
AES-256,256,JPG,1MB,1048576,1,2,0.6698,0.718,1492.98,1392.76,96.6649,99.5548,56.2229,99.7996,1.00054,1.00048,35.6445,PASS
AES-128,128,JPG,1MB,1048576,1,2,0.6479,0.659,1543.45,1517.45,97.6008,98.588,74.8244,93.5818,1.00054,1.00048,35.6445,PASS
AES-256,256,JPG,1MB,1048576,1,3,0.6697,0.6648,1493.21,1504.21,97.4421,97.7592,68.6799,74.6919,1.00054,1.00048,35.6445,PASS
AES-128,128,JPG,1MB,1048576,1,3,0.8626,0.6838,1159.29,1462.42,98.4053,99.1909,99.8117,87.4656,1.00054,1.00048,35.6445,PASS
AES-192,192,JPG,1MB,1048576,1,3,0.6909,0.7133,1447.39,1401.93,97.6533,91.2753,68.5694,68.6636,1.00054,1.00048,35.6445,PASS
AES-128,128,JPG,1MB,1048576,1,4,0.6298,0.6857,1587.81,1458.36,97.8786,97.4948,81.1026,74.9885,1.00054,1.00048,35.6445,PASS
AES-192,192,JPG,1MB,1048576,1,4,0.6685,0.688,1495.89,1453.49,98.4404,97.2354,68.6692,74.7873,1.00054,1.00048,35.6445,PASS
AES-256,256,JPG,1MB,1048576,1,4,0.8276,0.7452,1208.31,1341.92,97.7495,98.319,74.9708,74.7636,1.00054,1.00048,35.6445,PASS
AES-192,192,JPG,1MB,1048576,1,5,0.7066,0.8132,1415.23,1229.71,97.7412,98.7325,99.8799,68.716,1.00054,1.00048,35.6445,PASS
AES-256,256,JPG,1MB,1048576,1,5,0.7306,0.7574,1368.74,1320.31,95.5453,97.1334,43.6728,93.7173,1.00054,1.00048,35.6445,PASS
AES-128,128,JPG,1MB,1048576,1,5,0.6536,0.6519,1529.99,1533.98,99.1282,98.9738,93.4451,87.4051,1.00054,1.00048,35.6445,PASS
AES-256,256,JPG,1MB,1048576,1,6,0.7357,0.7135,1359.25,1401.54,98.8875,97.4725,99.6688,74.8565,1.00054,1.00048,35.6445,PASS
AES-128,128,JPG,1MB,1048576,1,6,1.2487,0.6618,800.833,1511.03,98.6864,98.0618,93.5371,74.8785,1.00054,1.00048,35.6445,PASS
AES-192,192,JPG,1MB,1048576,1,6,0.6784,1.691,1474.06,591.366,97.2393,98.7691,62.3067,81.1575,1.00054,1.00048,35.6445,PASS
AES-128,128,JPG,1MB,1048576,1,7,0.6922,0.7051,1444.67,1418.24,97.8968,98.1376,81.0538,81.0318,1.00054,1.00048,35.6445,PASS
AES-192,192,JPG,1MB,1048576,1,7,0.7036,0.688,1421.26,1453.49,99.0471,99.1191,93.4329,105.98,1.00054,1.00048,35.6445,PASS
AES-256,256,JPG,1MB,1048576,1,7,0.6617,0.7112,1511.26,1406.07,97.2346,98.1919,80.9788,81.1009,1.00054,1.00048,35.6445,PASS
AES-192,192,JPG,1MB,1048576,1,8,0.63,0.6573,1587.3,1521.38,98.9282,97.7149,93.5353,87.4604,1.00054,1.00048,35.6445,PASS
AES-256,256,JPG,1MB,1048576,1,8,0.6648,0.7209,1504.21,1387.15,98.8408,98.3393,87.2943,87.3967,1.00054,1.00048,35.6445,PASS
AES-128,128,JPG,1MB,1048576,1,8,0.6696,0.7005,1493.43,1427.55,95.6201,99.1131,74.7622,99.923,1.00054,1.00048,35.6445,PASS
AES-256,256,JPG,1MB,1048576,1,9,0.6981,0.6731,1432.46,1485.66,99.2116,99.0246,93.4901,87.3944,1.00054,1.00048,35.6445,PASS
AES-128,128,JPG,1MB,1048576,1,9,0.6508,0.6379,1536.57,1567.64,98.0573,97.2436,87.3441,62.3684,1.00054,1.00048,35.6445,PASS
AES-192,192,JPG,1MB,1048576,1,9,0.689,0.7346,1451.38,1361.29,99.0823,99.0752,99.91,81.2448,1.00054,1.00048,35.6445,PASS
AES-128,128,JPG,1MB,1048576,1,10,0.6848,0.6767,1460.28,1477.76,99.0008,97.2601,87.327,74.9459,1.00054,1.00048,35.6445,PASS
AES-192,192,JPG,1MB,1048576,1,10,0.6712,0.7388,1489.87,1353.55,98.3179,98.3521,81.1996,74.7772,1.00054,1.00048,35.6445,PASS
AES-256,256,JPG,1MB,1048576,1,10,0.7224,0.856,1384.27,1168.22,98.647,98.3863,93.6922,93.4781,1.00054,1.00048,35.6445,PASS
AES-128,128,JPG,5MB,5242880,5,1,2.8954,3.0689,1726.88,1629.25,98.6807,96.2526,86.7912,87.2345,5.00054,5.00048,43.6445,PASS
AES-192,192,JPG,5MB,5242880,5,1,3.1838,3.1358,1570.45,1594.49,98.9097,97.568,99.9962,86.9537,5.00054,5.00048,43.6445,PASS
AES-256,256,JPG,5MB,5242880,5,1,3.3478,3.5177,1493.52,1421.38,98.684,97.027,93.1273,80.5136,5.00054,5.00048,43.6445,PASS
AES-192,192,JPG,5MB,5242880,5,2,3.8212,3.0784,1308.49,1624.22,96.8731,95.6786,81.098,49.3385,5.00054,5.00048,43.6445,PASS
AES-256,256,JPG,5MB,5242880,5,2,3.1672,3.145,1578.68,1589.83,97.6932,95.3949,61.6247,80.8786,5.00054,5.00048,43.6445,PASS
AES-128,128,JPG,5MB,5242880,5,2,2.9319,3.0772,1705.38,1624.85,98.6909,97.4691,74.7019,104.975,5.00054,5.00048,43.6445,PASS
AES-256,256,JPG,5MB,5242880,5,3,2.8966,3.3878,1726.16,1475.88,97.8635,98.3583,68.3654,80.8478,5.00054,5.00048,43.6445,PASS
AES-128,128,JPG,5MB,5242880,5,3,3.0104,3.6424,1660.91,1372.72,96.8201,98.1937,86.6613,80.8884,5.00054,5.00048,43.6445,PASS
AES-192,192,JPG,5MB,5242880,5,3,2.9751,3.0917,1680.62,1617.23,98.391,98.2614,99.3604,86.4523,5.00054,5.00048,43.6445,PASS
AES-128,128,JPG,5MB,5242880,5,4,3.1484,2.9465,1588.11,1696.93,98.1371,97.7377,86.5979,87.4525,5.00054,5.00048,43.6445,PASS
AES-192,192,JPG,5MB,5242880,5,4,3.0234,5.3596,1653.77,932.905,97.464,98.1544,92.4743,80.6606,5.00054,5.00048,43.6445,PASS
AES-256,256,JPG,5MB,5242880,5,4,3.1516,3.1331,1586.5,1595.86,98.2539,97.0313,92.773,62.0313,5.00054,5.00048,43.6445,PASS
AES-192,192,JPG,5MB,5242880,5,5,3.1538,3.1329,1585.39,1595.97,95.5573,99.1597,67.9691,99.9662,5.00054,5.00048,43.6445,PASS
AES-256,256,JPG,5MB,5242880,5,5,3.2003,3.0882,1562.35,1619.07,99.2961,98.7889,92.9218,86.9151,5.00054,5.00048,43.6445,PASS
